model,horizon,n,r2,rank_ic,hit
elastic_net,fwd_1d,3465,-0.03500742458313888,0.04198512681278539,0.5191919191919192
xgboost,fwd_1d,3465,-0.08400262389500224,0.038066926602390055,0.5212121212121212
elastic_net,fwd_5d,3465,-0.12531328546441256,0.012909280448297185,0.5165945165945166
xgboost,fwd_5d,3465,-0.32554237007496756,0.03524872673117643,0.5365079365079365
elastic_net,fwd_20d,3457,-0.21615476281043033,-0.111949543098145,0.5125831645935782
xgboost,fwd_20d,3457,-0.5619322497573833,-0.021640903000835363,0.5172114550188024
elastic_net,fwd_60d,3417,-0.24482109692243603,-0.04770783605272188,0.5583845478489904
xgboost,fwd_60d,3417,-0.746793840372155,0.0714744941104632,0.569212759730758
elastic_net,fwd_6m,3288,-0.37429979478960185,-0.10327661925098061,0.6046228710462287
xgboost,fwd_6m,3288,-0.5993148550857494,0.16672095659698347,0.5964111922141119
elastic_net,fwd_12m,3036,-0.8152871921781628,-0.041839163861241466,0.6814888010540184
xgboost,fwd_12m,3036,-1.2790243126257277,0.10857319106903385,0.7071805006587615
elastic_net,fwd_24m,2532,-0.7527494388333853,0.6819608878452269,0.8297788309636651
xgboost,fwd_24m,2532,-0.7730038065502762,0.681811554190131,0.8526856240126383
